,sku,forecast_period,interval,last_date,2019-06,2019-07,2019-08,2019-09,2019-10
169,MC181180,5,M,2019-05-28,0.0,0.0,0.0,0.0,1.0
170,MC181228,5,M,2019-05-28,0.0,0.0,0.0,1.0,0.0
171,MC181463,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
172,MC181472,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
173,MC181473,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
174,MC182153,5,M,2019-05-28,3.0,3.0,3.0,3.0,3.0
175,MC183328,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
176,MC183935,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
177,MC184229,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
178,MC184752,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
179,MC185131,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
180,MC185168,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
181,MC185530,5,M,2019-05-28,0.0,0.0,1.0,0.0,0.0
182,MC185600,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
183,MC186378,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
184,MC187175,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
185,MC187578,5,M,2019-05-28,0.0,0.0,1.0,0.0,0.0
186,MC187627,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
187,MC188043,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
188,MC188310,5,M,2019-05-28,0.0,0.0,1.0,0.0,0.0
189,MC188410,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
190,MC189258,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
191,MC189783,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
192,MC189858,5,M,2019-05-28,0.0,0.0,1.0,0.0,0.0
193,MC262553,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
194,MC262554,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
195,MC262556,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
196,MC262559,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
197,MC262560,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
198,MC262567,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
199,MC262572,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
200,MC262831,5,M,2019-05-28,3.0,3.0,3.0,3.0,3.0
201,MC287242,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
202,MC302526,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
203,MC303504,5,M,2019-05-28,2.0,2.0,2.0,2.0,2.0
204,MC312820,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
205,MC315989,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
206,MC317147,5,M,2019-05-28,2.0,2.0,2.0,2.0,2.0
207,MC342630,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
208,MC348982,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
209,MC353862,5,M,2019-05-28,2.0,2.0,2.0,2.0,2.0
210,MC358718,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
211,MC358719,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
212,MC359716,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
213,MC363588,5,M,2019-05-28,1.0,1.0,1.0,1.0,1.0
214,MC366160,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
215,MC402183,5,M,2019-05-28,6.0,8.0,6.0,0.0,1.0
216,MC402273,5,M,2019-05-28,0.0,0.0,1.0,0.0,0.0
217,MC403580,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
218,MC403583,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
219,MC404414,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
220,MC405328,5,M,2019-05-28,1.0,1.0,1.0,1.0,1.0
221,MC410282,5,M,2019-05-28,1.0,0.0,0.0,0.0,0.0
222,MC411524,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
223,MC411872,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
224,MC411923,5,M,2019-05-28,2.0,2.0,2.0,2.0,2.0
225,MC414426,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
226,MC418438,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
227,MC421760,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
228,MC430726,5,M,2019-05-28,0.0,0.0,0.0,0.0,1.0
229,MC437446,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
230,MC439042,5,M,2019-05-28,1.0,0.0,0.0,0.0,0.0
231,MC439732,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
232,MC439733,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
233,MC441016,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
234,MC441223,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
235,MC443750,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
236,MC449962,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
237,MC539193,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
238,MC543505,5,M,2019-05-28,2.0,2.0,2.0,2.0,2.0
239,MC560876,5,M,2019-05-28,1.5,1.25,1.375,1.312,1.344
240,MC601174,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
241,MC613079,5,M,2019-05-28,1.5,1.25,1.375,1.312,1.344
242,MC613729,5,M,2019-05-28,38.0,46.0,40.0,38.0,46.0
243,MC615633,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
244,MC621517,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
245,MC623494,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
246,MC626461,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
247,MC628333,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
248,MC628335,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
249,MC628336,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
250,MC631836,5,M,2019-05-28,0.0,0.0,0.0,0.0,1.0
251,MC631839,5,M,2019-05-28,0.0,0.0,0.0,0.0,1.0
252,MC632703,5,M,2019-05-28,2.0,2.0,2.0,2.0,2.0
253,MC632704,5,M,2019-05-28,2.0,2.0,2.0,2.0,2.0
254,MC633911,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
255,MC642890,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
256,MC722339,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
257,MC723672,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
258,MC803170,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
259,MC804488,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
260,MC804504,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
261,MC804969,5,M,2019-05-28,0.0,0.0,0.0,1.0,0.0
262,MC807153,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
263,MC809605,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
264,MC810266,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
265,MC813266,5,M,2019-05-28,2.0,2.0,1.0,2.0,2.0
266,MC813523,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
267,MC814322,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
268,MC815374,5,M,2019-05-28,1.0,1.0,1.0,1.0,1.0
269,MC815598,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
270,MC816005,5,M,2019-05-28,1.5,1.25,1.375,1.312,1.344
271,MC819031,5,M,2019-05-28,5.0,5.0,5.0,5.0,5.0
272,MC822290,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
273,MC822294,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
274,MC824629,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
275,MC825066,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
276,MC827248,5,M,2019-05-28,1.0,0.0,0.0,0.0,0.0
277,MC828225,5,M,2019-05-28,2.25,1.875,2.062,1.969,2.016
278,MC828226,5,M,2019-05-28,2.25,1.875,2.062,1.969,2.016
279,MC831289,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
280,MC831321,5,M,2019-05-28,1.0,0.0,0.0,0.0,0.0
281,MC832370,5,M,2019-05-28,1.0,1.0,1.0,1.0,1.0
282,MC832371,5,M,2019-05-28,1.5,1.25,1.375,1.312,1.344
283,MC834552,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
284,MC836021,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
285,MC837090,5,M,2019-05-28,0.75,0.625,0.688,0.656,0.672
286,MC838112,5,M,2019-05-28,0.0,1.0,1.0,1.0,1.0
287,MC838568,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
288,MC838677,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
289,MC838679,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
290,MC838680,5,M,2019-05-28,0.0,0.0,1.0,0.0,0.0
291,MC839300,5,M,2019-05-28,0.0,0.0,1.0,0.0,0.0
292,MC839926,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
293,MC843788,5,M,2019-05-28,10.0,4.0,3.0,10.0,4.0
294,MC844073,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
295,MC844580,5,M,2019-05-28,0.0,0.0,0.0,1.0,0.0
296,MC846982,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
297,MC848186,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
298,MC853591,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
299,MC854708,5,M,2019-05-28,16.0,6.0,12.0,2.0,7.0
300,MC856677,5,M,2019-05-28,0.0,0.0,1.0,0.0,0.0
301,MC858395,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
302,MC858965,5,M,2019-05-28,0.0,0.0,1.0,0.0,0.0
303,MC859050,5,M,2019-05-28,32.0,35.0,16.0,7.0,14.0
304,MC859135,5,M,2019-05-28,14.0,12.0,14.0,14.0,12.0
305,MC859391,5,M,2019-05-28,0.0,0.0,2.0,0.0,0.0
306,MC859491,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
307,MC859819,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
308,MC863705,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
309,MC865370,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
310,MC866146,5,M,2019-05-28,13.0,11.0,13.0,13.0,11.0
311,MC867505,5,M,2019-05-28,0.0,2.0,2.0,34.0,0.0
312,MC868605,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
313,MC868606,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
314,MC869934,5,M,2019-05-28,2.0,2.0,2.0,2.0,2.0
315,MC881484,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
316,MC883143,5,M,2019-05-28,0.0,0.0,0.0,1.0,0.0
317,MC884671,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
318,MC886542,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
319,MC886552,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
320,MC891377,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
321,MC891558,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
322,MC891559,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
323,MC891882,5,M,2019-05-28,1.5,1.25,1.375,1.312,1.344
324,MC891950,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
325,MC891951,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
326,MC892178,5,M,2019-05-28,9.0,8.0,9.0,8.0,8.0
327,MC893548,5,M,2019-05-28,1.5,1.25,1.375,1.312,1.344
328,MC893549,5,M,2019-05-28,0.0,0.0,0.0,0.0,1.0
329,MC894416,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
330,MC894920,5,M,2019-05-28,1.5,1.25,1.375,1.312,1.344
331,MC895318,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
332,MC895655,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
333,MC895989,5,M,2019-05-28,10.0,5.0,10.0,11.0,14.0
334,MC895991,5,M,2019-05-28,34.0,14.0,5.0,9.0,3.0
335,MC898016,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
336,MC898280,5,M,2019-05-28,1.5,1.25,1.375,1.312,1.344
337,MC898445,5,M,2019-05-28,1.0,0.0,0.0,0.0,0.0
338,MC898596,5,M,2019-05-28,5.0,6.0,6.0,5.0,6.0
339,MC907014,5,M,2019-05-28,0.0,1.0,1.0,1.0,1.0
340,MC907548,5,M,2019-05-28,3.0,2.5,2.75,2.625,2.688
341,MC908220,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
342,MC908284,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
343,MC908297,5,M,2019-05-28,1.0,1.0,1.0,1.0,1.0
344,MC908757,5,M,2019-05-28,4.0,4.0,4.0,4.0,4.0
345,MC908759,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
346,MC908773,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
347,MC908879,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
348,MC910823,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
349,MC911179,5,M,2019-05-28,1.0,1.0,1.0,1.0,1.0
350,MC912543,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
351,MC914538,5,M,2019-05-28,1.5,1.25,1.375,1.312,1.344
352,MC914539,5,M,2019-05-28,0.75,0.625,0.688,0.656,0.672
353,MC915654,5,M,2019-05-28,2.25,1.875,2.062,1.969,2.016
354,MC916585,5,M,2019-05-28,1.5,1.25,1.375,1.312,1.344
355,MC918383,5,M,2019-05-28,2.25,1.875,2.062,1.969,2.016
356,MC918542,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
357,MC918695,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
358,MC919451,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
359,MC922029,5,M,2019-05-28,0.0,0.0,0.0,0.0,1.0
360,MC924206,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
361,MC924798,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
362,MC925275,5,M,2019-05-28,4.0,23.0,3.0,4.0,5.0
363,MC926416,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
364,MC926450,5,M,2019-05-28,1.0,0.0,0.0,0.0,0.0
